,date,cluster,keyword_sum
1296,2023-02-08,arts & design,10044
1297,2023-02-08,automotive,21673
1298,2023-02-08,beauty & personal care,27347
1299,2023-02-08,construction,288821
1300,2023-02-08,consulting,47343
1301,2023-02-08,e-commerce & retail trade,5384
1302,2023-02-08,education,383709
1303,2023-02-08,energy,126851
1304,2023-02-08,engineering & architecture,995
1305,2023-02-08,entertainment & recreation,11054
1306,2023-02-08,event organization,71244
1307,2023-02-08,fashion,222487
1308,2023-02-08,finance,186947
1309,2023-02-08,food & beverages,25206
1310,2023-02-08,health care and social assistance,18132
1311,2023-02-08,home care & home services,23628
1312,2023-02-08,human resources,37485
1313,2023-02-08,information technology,82146
1314,2023-02-08,insurance,106883
1315,2023-02-08,legal,423253
1316,2023-02-08,manufacturing,146291
1317,2023-02-08,media & social networks,30554
1318,2023-02-08,non-profit organizations,7769
1319,2023-02-08,public administration,75662
1320,2023-02-08,real estate & leasing,11086
1321,2023-02-08,sports & activities,44595
1322,2023-02-08,telecommunications,58316
1323,2023-02-08,transportation,52816
1324,2023-02-08,video & photography,37723
1325,2023-02-08,"warehousing, storage & delivery",15947
1326,2023-02-09,accommodation,86336
1327,2023-02-09,"advertising, marketing & research",7119
1328,2023-02-09,"agriculture, farm animals & forestry",933
1329,2023-02-09,animal care & products for animals,5587
1330,2023-02-09,arts & design,9586
1331,2023-02-09,automotive,19693
1332,2023-02-09,beauty & personal care,24866
1333,2023-02-09,construction,264575
1334,2023-02-09,consulting,45511
1335,2023-02-09,e-commerce & retail trade,4407
1336,2023-02-09,education,332349
1337,2023-02-09,energy,115417
1338,2023-02-09,engineering & architecture,966
1339,2023-02-09,entertainment & recreation,9938
1340,2023-02-09,event organization,62713
1341,2023-02-09,fashion,219394
1342,2023-02-09,finance,172102
1343,2023-02-09,food & beverages,21940
1344,2023-02-09,health care and social assistance,17587
1345,2023-02-09,home care & home services,21123
1346,2023-02-09,human resources,30148
1347,2023-02-09,information technology,71874
1348,2023-02-09,insurance,88861
1349,2023-02-09,legal,382021
1350,2023-02-09,manufacturing,134507
1351,2023-02-09,media & social networks,28545
1352,2023-02-09,non-profit organizations,7227
1353,2023-02-09,public administration,69215
1354,2023-02-09,real estate & leasing,9989
1355,2023-02-09,sports & activities,36097
1356,2023-02-09,telecommunications,51626
1357,2023-02-09,transportation,45958
1358,2023-02-09,video & photography,30277
1359,2023-02-09,"warehousing, storage & delivery",14194
1360,2023-02-10,accommodation,66315
1361,2023-02-10,"advertising, marketing & research",7471
1362,2023-02-10,"agriculture, farm animals & forestry",1263
1363,2023-02-10,animal care & products for animals,4452
1364,2023-02-10,arts & design,6104
1365,2023-02-10,automotive,14826
1366,2023-02-10,beauty & personal care,18778
1367,2023-02-10,construction,201333
1368,2023-02-10,consulting,34077
1369,2023-02-10,e-commerce & retail trade,3712
1370,2023-02-10,education,258997
1371,2023-02-10,energy,90799
1372,2023-02-10,engineering & architecture,470
1373,2023-02-10,entertainment & recreation,7642
1374,2023-02-10,event organization,49050
1375,2023-02-10,fashion,151548
1376,2023-02-10,finance,134019
1377,2023-02-10,food & beverages,18697
1378,2023-02-10,health care and social assistance,12067
1379,2023-02-10,home care & home services,16499
1380,2023-02-10,human resources,24942
1381,2023-02-10,information technology,54964
1382,2023-02-10,insurance,72427
1383,2023-02-10,legal,303222
1384,2023-02-10,manufacturing,103115
1385,2023-02-10,media & social networks,21260
1386,2023-02-10,non-profit organizations,5159
1387,2023-02-10,public administration,48975
1388,2023-02-10,real estate & leasing,6924
1389,2023-02-10,sports & activities,29838
1390,2023-02-10,telecommunications,40602
1391,2023-02-10,transportation,38452
1392,2023-02-10,video & photography,26624
1393,2023-02-10,"warehousing, storage & delivery",11934
1394,2023-02-11,accommodation,30642
1395,2023-02-11,"advertising, marketing & research",2048
1396,2023-02-11,"agriculture, farm animals & forestry",237
1397,2023-02-11,animal care & products for animals,2571
1398,2023-02-11,arts & design,2416
1399,2023-02-11,automotive,5689
1400,2023-02-11,beauty & personal care,10080
1401,2023-02-11,construction,88450
1402,2023-02-11,consulting,16619
1403,2023-02-11,e-commerce & retail trade,1782
1404,2023-02-11,education,114785
1405,2023-02-11,energy,43191
1406,2023-02-11,engineering & architecture,127
1407,2023-02-11,entertainment & recreation,3078
1408,2023-02-11,event organization,19682
1409,2023-02-11,fashion,65303
1410,2023-02-11,finance,62278
1411,2023-02-11,food & beverages,8973
1412,2023-02-11,health care and social assistance,5913
1413,2023-02-11,home care & home services,7683
1414,2023-02-11,human resources,8632
1415,2023-02-11,information technology,22172
1416,2023-02-11,insurance,34336
1417,2023-02-11,legal,145999
1418,2023-02-11,manufacturing,47287
1419,2023-02-11,media & social networks,10076
1420,2023-02-11,non-profit organizations,2141
1421,2023-02-11,public administration,18833
1422,2023-02-11,real estate & leasing,5294
1423,2023-02-11,sports & activities,13831
1424,2023-02-11,telecommunications,18880
1425,2023-02-11,transportation,20057
1426,2023-02-11,video & photography,11254
1427,2023-02-11,"warehousing, storage & delivery",5874
1428,2023-02-12,accommodation,34175
1429,2023-02-12,"advertising, marketing & research",2215
1430,2023-02-12,"agriculture, farm animals & forestry",276
1431,2023-02-12,animal care & products for animals,3068
1432,2023-02-12,arts & design,3280
1433,2023-02-12,automotive,6991
1434,2023-02-12,beauty & personal care,9521
1435,2023-02-12,construction,99960
1436,2023-02-12,consulting,16789
1437,2023-02-12,e-commerce & retail trade,1714
1438,2023-02-12,education,130626
1439,2023-02-12,energy,48261
1440,2023-02-12,engineering & architecture,118
1441,2023-02-12,entertainment & recreation,3560
1442,2023-02-12,event organization,22673
1443,2023-02-12,fashion,70724
1444,2023-02-12,finance,67909
1445,2023-02-12,food & beverages,8843
1446,2023-02-12,health care and social assistance,5957
1447,2023-02-12,home care & home services,7877
1448,2023-02-12,human resources,10233
1449,2023-02-12,information technology,25879
1450,2023-02-12,insurance,36941
1451,2023-02-12,legal,159077
1452,2023-02-12,manufacturing,52330
1453,2023-02-12,media & social networks,10633
1454,2023-02-12,non-profit organizations,2008
1455,2023-02-12,public administration,21604
1456,2023-02-12,real estate & leasing,3736
1457,2023-02-12,sports & activities,14691
1458,2023-02-12,telecommunications,21271
1459,2023-02-12,transportation,23086
1460,2023-02-12,video & photography,13216
1461,2023-02-12,"warehousing, storage & delivery",6636
1462,2023-02-13,accommodation,88805
1463,2023-02-13,"advertising, marketing & research",9036
1464,2023-02-13,"agriculture, farm animals & forestry",1882
1465,2023-02-13,animal care & products for animals,6655
1466,2023-02-13,arts & design,12014
1467,2023-02-13,automotive,22431
1468,2023-02-13,beauty & personal care,32918
1469,2023-02-13,construction,269423
1470,2023-02-13,consulting,60563
1471,2023-02-13,e-commerce & retail trade,6174
1472,2023-02-13,education,365914
1473,2023-02-13,energy,134384
1474,2023-02-13,engineering & architecture,1540
1475,2023-02-13,entertainment & recreation,12293
1476,2023-02-13,event organization,77311
1477,2023-02-13,fashion,255853
1478,2023-02-13,finance,181033
1479,2023-02-13,food & beverages,37127
1480,2023-02-13,health care and social assistance,18152
1481,2023-02-13,home care & home services,26448
1482,2023-02-13,human resources,37464
1483,2023-02-13,information technology,87123
1484,2023-02-13,insurance,102350
1485,2023-02-13,legal,386239
1486,2023-02-13,manufacturing,155146
1487,2023-02-13,media & social networks,33295
1488,2023-02-13,non-profit organizations,10888
1489,2023-02-13,public administration,76009
1490,2023-02-13,real estate & leasing,10748
1491,2023-02-13,sports & activities,45652
1492,2023-02-13,telecommunications,41198
1493,2023-02-13,transportation,59690
1494,2023-02-13,video & photography,37267
1495,2023-02-13,"warehousing, storage & delivery",16091
1496,2023-02-14,accommodation,95005
1497,2023-02-14,"advertising, marketing & research",8554
1498,2023-02-14,"agriculture, farm animals & forestry",1840
1499,2023-02-14,animal care & products for animals,9585
1500,2023-02-14,arts & design,11740
1501,2023-02-14,automotive,25768
1502,2023-02-14,beauty & personal care,37637
1503,2023-02-14,construction,291642
1504,2023-02-14,consulting,59574
1505,2023-02-14,e-commerce & retail trade,6857
1506,2023-02-14,education,381261
1507,2023-02-14,energy,141760
1508,2023-02-14,engineering & architecture,1814
1509,2023-02-14,entertainment & recreation,12790
1510,2023-02-14,event organization,75850
1511,2023-02-14,fashion,278653
1512,2023-02-14,finance,192613
1513,2023-02-14,food & beverages,35892
1514,2023-02-14,health care and social assistance,18483
1515,2023-02-14,home care & home services,24199
1516,2023-02-14,human resources,44637
1517,2023-02-14,information technology,89870
1518,2023-02-14,insurance,104315
1519,2023-02-14,legal,396510
1520,2023-02-14,manufacturing,164637
1521,2023-02-14,media & social networks,32502
1522,2023-02-14,non-profit organizations,12564
1523,2023-02-14,public administration,83358
1524,2023-02-14,real estate & leasing,12351
1525,2023-02-14,sports & activities,45912
1526,2023-02-14,telecommunications,42648
1527,2023-02-14,transportation,58982
1528,2023-02-14,video & photography,35978
1529,2023-02-14,"warehousing, storage & delivery",18053
1530,2023-02-15,accommodation,94988
1531,2023-02-15,"advertising, marketing & research",9406
1532,2023-02-15,"agriculture, farm animals & forestry",1570
1533,2023-02-15,animal care & products for animals,7328
1534,2023-02-15,arts & design,12616
1535,2023-02-15,automotive,28002
1536,2023-02-15,beauty & personal care,33728
1537,2023-02-15,construction,288718
1538,2023-02-15,consulting,54298
1539,2023-02-15,e-commerce & retail trade,7105
1540,2023-02-15,education,371083
1541,2023-02-15,energy,139259
1542,2023-02-15,engineering & architecture,2175
1543,2023-02-15,entertainment & recreation,12246
1544,2023-02-15,event organization,76210
1545,2023-02-15,fashion,305148
1546,2023-02-15,finance,186265
1547,2023-02-15,food & beverages,37718
1548,2023-02-15,health care and social assistance,17932
1549,2023-02-15,home care & home services,24140
1550,2023-02-15,human resources,41982
1551,2023-02-15,information technology,88866
1552,2023-02-15,insurance,105738
1553,2023-02-15,legal,395908
1554,2023-02-15,manufacturing,165469
1555,2023-02-15,media & social networks,30402
1556,2023-02-15,non-profit organizations,12430
1557,2023-02-15,public administration,84053
1558,2023-02-15,real estate & leasing,13466
1559,2023-02-15,sports & activities,46744
1560,2023-02-15,telecommunications,40714
1561,2023-02-15,transportation,65102
1562,2023-02-15,video & photography,35504
1563,2023-02-15,"warehousing, storage & delivery",19716
1564,2023-02-16,accommodation,86426
1565,2023-02-16,"advertising, marketing & research",9309
1566,2023-02-16,"agriculture, farm animals & forestry",1579
1567,2023-02-16,animal care & products for animals,8138
1568,2023-02-16,arts & design,11126
1569,2023-02-16,automotive,22606
1570,2023-02-16,beauty & personal care,31290
1571,2023-02-16,construction,257321
1572,2023-02-16,consulting,50147
1573,2023-02-16,e-commerce & retail trade,6976
1574,2023-02-16,education,355602
1575,2023-02-16,energy,126178
1576,2023-02-16,engineering & architecture,2015
1577,2023-02-16,entertainment & recreation,12981
1578,2023-02-16,event organization,77013
1579,2023-02-16,fashion,245204
1580,2023-02-16,finance,170550
1581,2023-02-16,food & beverages,36620
1582,2023-02-16,health care and social assistance,17646
1583,2023-02-16,home care & home services,23684
1584,2023-02-16,human resources,35672
1585,2023-02-16,information technology,82868
1586,2023-02-16,insurance,95699
1587,2023-02-16,legal,361487
1588,2023-02-16,manufacturing,146021
1589,2023-02-16,media & social networks,30156
1590,2023-02-16,non-profit organizations,11298
1591,2023-02-16,public administration,74586
1592,2023-02-16,real estate & leasing,13006
1593,2023-02-16,sports & activities,45779
1594,2023-02-16,telecommunications,37072
1595,2023-02-16,transportation,52875
1596,2023-02-16,video & photography,36586
1597,2023-02-16,"warehousing, storage & delivery",17083
1598,2023-02-17,accommodation,67746
1599,2023-02-17,"advertising, marketing & research",7223
1600,2023-02-17,"agriculture, farm animals & forestry",1026
1601,2023-02-17,animal care & products for animals,4512
1602,2023-02-17,arts & design,8211
1603,2023-02-17,automotive,18470
1604,2023-02-17,beauty & personal care,25739
1605,2023-02-17,construction,213843
1606,2023-02-17,consulting,45096
1607,2023-02-17,e-commerce & retail trade,4979
1608,2023-02-17,education,291639
1609,2023-02-17,energy,106921
1610,2023-02-17,engineering & architecture,1244
1611,2023-02-17,entertainment & recreation,9615
1612,2023-02-17,event organization,58030
1613,2023-02-17,fashion,192910
1614,2023-02-17,finance,146328
1615,2023-02-17,food & beverages,26030
1616,2023-02-17,health care and social assistance,15089
1617,2023-02-17,home care & home services,20630
1618,2023-02-17,human resources,31260
1619,2023-02-17,information technology,69378
1620,2023-02-17,insurance,81763
1621,2023-02-17,legal,317325
1622,2023-02-17,manufacturing,120526
1623,2023-02-17,media & social networks,26465
1624,2023-02-17,non-profit organizations,8666
1625,2023-02-17,public administration,58458
1626,2023-02-17,real estate & leasing,9859
1627,2023-02-17,sports & activities,33644
1628,2023-02-17,telecommunications,30094
1629,2023-02-17,transportation,45878
1630,2023-02-17,video & photography,29272
1631,2023-02-17,"warehousing, storage & delivery",13810
1632,2023-02-18,accommodation,34516
1633,2023-02-18,"advertising, marketing & research",3216
1634,2023-02-18,"agriculture, farm animals & forestry",466
1635,2023-02-18,animal care & products for animals,4029
1636,2023-02-18,arts & design,3966
1637,2023-02-18,automotive,8572
1638,2023-02-18,beauty & personal care,14460
1639,2023-02-18,construction,97467
1640,2023-02-18,consulting,21213
1641,2023-02-18,e-commerce & retail trade,2739
1642,2023-02-18,education,146048
1643,2023-02-18,energy,57217
1644,2023-02-18,engineering & architecture,661
1645,2023-02-18,entertainment & recreation,4772
1646,2023-02-18,event organization,28581
1647,2023-02-18,fashion,86739
1648,2023-02-18,finance,71591
1649,2023-02-18,food & beverages,19752
1650,2023-02-18,health care and social assistance,7681
1651,2023-02-18,home care & home services,11136
1652,2023-02-18,human resources,12785
1653,2023-02-18,information technology,33281
1654,2023-02-18,insurance,40916
1655,2023-02-18,legal,160370
1656,2023-02-18,manufacturing,57806
1657,2023-02-18,media & social networks,12308
1658,2023-02-18,non-profit organizations,4076
1659,2023-02-18,public administration,22514
1660,2023-02-18,real estate & leasing,5740
1661,2023-02-18,sports & activities,17478
1662,2023-02-18,telecommunications,14123
1663,2023-02-18,transportation,27430
1664,2023-02-18,video & photography,13805
1665,2023-02-18,"warehousing, storage & delivery",8076
1666,2023-02-19,accommodation,34792
1667,2023-02-19,"advertising, marketing & research",3280
1668,2023-02-19,"agriculture, farm animals & forestry",445
1669,2023-02-19,animal care & products for animals,3003
1670,2023-02-19,arts & design,4326
1671,2023-02-19,automotive,7535
1672,2023-02-19,beauty & personal care,13948
1673,2023-02-19,construction,107075
1674,2023-02-19,consulting,24432
1675,2023-02-19,e-commerce & retail trade,2966
1676,2023-02-19,education,155996
1677,2023-02-19,energy,58204
1678,2023-02-19,engineering & architecture,526
1679,2023-02-19,entertainment & recreation,5658
1680,2023-02-19,event organization,28692
1681,2023-02-19,fashion,92703
1682,2023-02-19,finance,75809
1683,2023-02-19,food & beverages,19017
1684,2023-02-19,health care and social assistance,7547
1685,2023-02-19,home care & home services,10446
1686,2023-02-19,human resources,15221
1687,2023-02-19,information technology,35399
1688,2023-02-19,insurance,40797
1689,2023-02-19,legal,164993
1690,2023-02-19,manufacturing,63455
1691,2023-02-19,media & social networks,12813
1692,2023-02-19,non-profit organizations,3664
1693,2023-02-19,public administration,23649
1694,2023-02-19,real estate & leasing,4865
1695,2023-02-19,sports & activities,19189
1696,2023-02-19,telecommunications,15263
1697,2023-02-19,transportation,26720
1698,2023-02-19,video & photography,15670
1699,2023-02-19,"warehousing, storage & delivery",10009
1700,2023-02-20,accommodation,80762
1701,2023-02-20,"advertising, marketing & research",8151
1702,2023-02-20,"agriculture, farm animals & forestry",1273
1703,2023-02-20,animal care & products for animals,6074
1704,2023-02-20,arts & design,10681
1705,2023-02-20,automotive,19949
1706,2023-02-20,beauty & personal care,29106
1707,2023-02-20,construction,240144
1708,2023-02-20,consulting,48237
1709,2023-02-20,e-commerce & retail trade,5484
1710,2023-02-20,education,321011
1711,2023-02-20,energy,116724
1712,2023-02-20,engineering & architecture,1622
1713,2023-02-20,entertainment & recreation,10697
1714,2023-02-20,event organization,63151
1715,2023-02-20,fashion,223106
1716,2023-02-20,finance,159984
1717,2023-02-20,food & beverages,33617
1718,2023-02-20,health care and social assistance,16440
1719,2023-02-20,home care & home services,21852
1720,2023-02-20,human resources,33143
1721,2023-02-20,information technology,79450
1722,2023-02-20,insurance,87594
1723,2023-02-20,legal,338229
1724,2023-02-20,manufacturing,132792
1725,2023-02-20,media & social networks,28474
1726,2023-02-20,non-profit organizations,9440
1727,2023-02-20,public administration,62110
1728,2023-02-20,real estate & leasing,11524
1729,2023-02-20,sports & activities,39880
1730,2023-02-20,telecommunications,34491
1731,2023-02-20,transportation,51645
1732,2023-02-20,video & photography,33184
1733,2023-02-20,"warehousing, storage & delivery",15813
1734,2023-02-21,accommodation,85144
1735,2023-02-21,"advertising, marketing & research",8428
1736,2023-02-21,"agriculture, farm animals & forestry",1597
1737,2023-02-21,animal care & products for animals,7061
1738,2023-02-21,arts & design,11825
1739,2023-02-21,automotive,20768
1740,2023-02-21,beauty & personal care,30266
1741,2023-02-21,construction,262740
1742,2023-02-21,consulting,56144
1743,2023-02-21,e-commerce & retail trade,5106
1744,2023-02-21,education,349268
1745,2023-02-21,energy,125482
1746,2023-02-21,engineering & architecture,1561
1747,2023-02-21,entertainment & recreation,11966
1748,2023-02-21,event organization,73984
1749,2023-02-21,fashion,234036
1750,2023-02-21,finance,174991
1751,2023-02-21,food & beverages,36808
1752,2023-02-21,health care and social assistance,16520
1753,2023-02-21,home care & home services,24831
1754,2023-02-21,human resources,36705
1755,2023-02-21,information technology,84135
1756,2023-02-21,insurance,93854
1757,2023-02-21,legal,370637
1758,2023-02-21,manufacturing,146387
1759,2023-02-21,media & social networks,31649
1760,2023-02-21,non-profit organizations,10774
1761,2023-02-21,public administration,65301
1762,2023-02-21,real estate & leasing,10742
1763,2023-02-21,sports & activities,44973
1764,2023-02-21,telecommunications,35736
1765,2023-02-21,transportation,52943
1766,2023-02-21,video & photography,33402
1767,2023-02-21,"warehousing, storage & delivery",13768
1768,2023-02-22,accommodation,85590
1769,2023-02-22,"advertising, marketing & research",9182
1770,2023-02-22,"agriculture, farm animals & forestry",1308
1771,2023-02-22,animal care & products for animals,7902
1772,2023-02-22,arts & design,11390
1773,2023-02-22,automotive,21379
1774,2023-02-22,beauty & personal care,35831
1775,2023-02-22,construction,275241
1776,2023-02-22,consulting,57066
1777,2023-02-22,e-commerce & retail trade,6246
1778,2023-02-22,education,369530
1779,2023-02-22,energy,129909
1780,2023-02-22,engineering & architecture,1589
1781,2023-02-22,entertainment & recreation,12273
1782,2023-02-22,event organization,77410
1783,2023-02-22,fashion,253480
1784,2023-02-22,finance,181233
1785,2023-02-22,food & beverages,38902
1786,2023-02-22,health care and social assistance,19506
1787,2023-02-22,home care & home services,24913
1788,2023-02-22,human resources,39512
1789,2023-02-22,information technology,96242
1790,2023-02-22,insurance,97483
1791,2023-02-22,legal,387724
1792,2023-02-22,manufacturing,148295
1793,2023-02-22,media & social networks,31617
1794,2023-02-22,non-profit organizations,10971
1795,2023-02-22,public administration,74554
1796,2023-02-22,real estate & leasing,11871
1797,2023-02-22,sports & activities,46492
1798,2023-02-22,telecommunications,39074
1799,2023-02-22,transportation,55496
1800,2023-02-22,video & photography,34845
1801,2023-02-22,"warehousing, storage & delivery",17440
1802,2023-02-23,accommodation,85226
1803,2023-02-23,"advertising, marketing & research",8806
1804,2023-02-23,"agriculture, farm animals & forestry",1560
1805,2023-02-23,animal care & products for animals,8747
1806,2023-02-23,arts & design,11506
1807,2023-02-23,automotive,21435
1808,2023-02-23,beauty & personal care,31051
1809,2023-02-23,construction,260842
1810,2023-02-23,consulting,57276
1811,2023-02-23,e-commerce & retail trade,6117
1812,2023-02-23,education,358610
1813,2023-02-23,energy,127187
1814,2023-02-23,engineering & architecture,1459
1815,2023-02-23,entertainment & recreation,12920
1816,2023-02-23,event organization,74916
1817,2023-02-23,fashion,241080
1818,2023-02-23,finance,170488
1819,2023-02-23,food & beverages,35386
1820,2023-02-23,health care and social assistance,15916
1821,2023-02-23,home care & home services,24964
1822,2023-02-23,human resources,36841
1823,2023-02-23,information technology,84408
1824,2023-02-23,insurance,97277
1825,2023-02-23,legal,377129
1826,2023-02-23,manufacturing,147510
1827,2023-02-23,media & social networks,31008
1828,2023-02-23,non-profit organizations,10109
1829,2023-02-23,public administration,67178
1830,2023-02-23,real estate & leasing,10656
1831,2023-02-23,sports & activities,45725
1832,2023-02-23,telecommunications,36264
1833,2023-02-23,transportation,56984
1834,2023-02-23,video & photography,32636
1835,2023-02-23,"warehousing, storage & delivery",16177
1836,2023-02-24,accommodation,66841
1837,2023-02-24,"advertising, marketing & research",6761
1838,2023-02-24,"agriculture, farm animals & forestry",1161
1839,2023-02-24,animal care & products for animals,5152
1840,2023-02-24,arts & design,8649
1841,2023-02-24,automotive,17007
1842,2023-02-24,beauty & personal care,24621
1843,2023-02-24,construction,198550
1844,2023-02-24,consulting,44332
1845,2023-02-24,e-commerce & retail trade,4058
1846,2023-02-24,education,270880
1847,2023-02-24,energy,99839
1848,2023-02-24,engineering & architecture,1087
1849,2023-02-24,entertainment & recreation,8742
1850,2023-02-24,event organization,51704
1851,2023-02-24,fashion,197097
1852,2023-02-24,finance,134170
1853,2023-02-24,food & beverages,26643
1854,2023-02-24,health care and social assistance,12653
1855,2023-02-24,home care & home services,19201
1856,2023-02-24,human resources,25052
1857,2023-02-24,information technology,63689
1858,2023-02-24,insurance,71600
1859,2023-02-24,legal,293343
1860,2023-02-24,manufacturing,112217
1861,2023-02-24,media & social networks,23321
1862,2023-02-24,non-profit organizations,7718
1863,2023-02-24,public administration,55831
1864,2023-02-24,real estate & leasing,10464
1865,2023-02-24,sports & activities,32849
1866,2023-02-24,telecommunications,30228
1867,2023-02-24,transportation,42519
1868,2023-02-24,video & photography,27859
1869,2023-02-24,"warehousing, storage & delivery",13491
1870,2023-02-25,accommodation,31824
1871,2023-02-25,"advertising, marketing & research",2646
1872,2023-02-25,"agriculture, farm animals & forestry",293
1873,2023-02-25,animal care & products for animals,3078
1874,2023-02-25,arts & design,4199
1875,2023-02-25,automotive,7888
1876,2023-02-25,beauty & personal care,12215
1877,2023-02-25,construction,86570
1878,2023-02-25,consulting,18655
1879,2023-02-25,e-commerce & retail trade,2811
1880,2023-02-25,education,127702
1881,2023-02-25,energy,47762
1882,2023-02-25,engineering & architecture,526
1883,2023-02-25,entertainment & recreation,4177
1884,2023-02-25,event organization,22895
1885,2023-02-25,fashion,89518
1886,2023-02-25,finance,63496
1887,2023-02-25,food & beverages,12818
1888,2023-02-25,health care and social assistance,5357
1889,2023-02-25,home care & home services,8556
1890,2023-02-25,human resources,8546
1891,2023-02-25,information technology,29272
1892,2023-02-25,insurance,32857
1893,2023-02-25,legal,138658
1894,2023-02-25,manufacturing,53481
1895,2023-02-25,media & social networks,10808
1896,2023-02-25,non-profit organizations,3381
1897,2023-02-25,public administration,20327
1898,2023-02-25,real estate & leasing,5322
1899,2023-02-25,sports & activities,14561
1900,2023-02-25,telecommunications,13466
1901,2023-02-25,transportation,26264
1902,2023-02-25,video & photography,12916
1903,2023-02-25,"warehousing, storage & delivery",8137
1904,2023-02-26,accommodation,38488
1905,2023-02-26,"advertising, marketing & research",3513
1906,2023-02-26,"agriculture, farm animals & forestry",761
1907,2023-02-26,animal care & products for animals,4241
1908,2023-02-26,arts & design,4324
1909,2023-02-26,automotive,9248
1910,2023-02-26,beauty & personal care,15266
1911,2023-02-26,construction,115245
1912,2023-02-26,consulting,23162
1913,2023-02-26,e-commerce & retail trade,3183
1914,2023-02-26,education,167965
1915,2023-02-26,energy,63831
1916,2023-02-26,engineering & architecture,600
1917,2023-02-26,entertainment & recreation,5640
1918,2023-02-26,event organization,30740
1919,2023-02-26,fashion,104446
1920,2023-02-26,finance,79990
1921,2023-02-26,food & beverages,18929
1922,2023-02-26,health care and social assistance,7363
1923,2023-02-26,home care & home services,10724
1924,2023-02-26,human resources,14033
1925,2023-02-26,information technology,39478
1926,2023-02-26,insurance,43925
1927,2023-02-26,legal,176714
1928,2023-02-26,manufacturing,68485
1929,2023-02-26,media & social networks,15664
1930,2023-02-26,non-profit organizations,4281
1931,2023-02-26,public administration,25889
1932,2023-02-26,real estate & leasing,6441
1933,2023-02-26,sports & activities,20123
1934,2023-02-26,telecommunications,16326
1935,2023-02-26,transportation,29182
1936,2023-02-26,video & photography,15316
1937,2023-02-26,"warehousing, storage & delivery",7770
1938,2023-02-27,accommodation,87162
1939,2023-02-27,"advertising, marketing & research",9707
1940,2023-02-27,"agriculture, farm animals & forestry",1579
1941,2023-02-27,animal care & products for animals,6374
1942,2023-02-27,arts & design,11861
1943,2023-02-27,automotive,21248
1944,2023-02-27,beauty & personal care,31464
1945,2023-02-27,construction,260731
1946,2023-02-27,consulting,54523
1947,2023-02-27,e-commerce & retail trade,6513
1948,2023-02-27,education,366150
1949,2023-02-27,energy,130023
1950,2023-02-27,engineering & architecture,1834
1951,2023-02-27,entertainment & recreation,12522
1952,2023-02-27,event organization,75457
1953,2023-02-27,fashion,243695
1954,2023-02-27,finance,177822
1955,2023-02-27,food & beverages,37375
1956,2023-02-27,health care and social assistance,17806
1957,2023-02-27,home care & home services,23571
1958,2023-02-27,human resources,37529
1959,2023-02-27,information technology,90358
1960,2023-02-27,insurance,99552
1961,2023-02-27,legal,376698
1962,2023-02-27,manufacturing,154066
1963,2023-02-27,media & social networks,31149
1964,2023-02-27,non-profit organizations,10498
1965,2023-02-27,public administration,70052
1966,2023-02-27,real estate & leasing,11523
1967,2023-02-27,sports & activities,45981
1968,2023-02-27,telecommunications,37119
1969,2023-02-27,transportation,54923
1970,2023-02-27,video & photography,35201
1971,2023-02-27,"warehousing, storage & delivery",18744
1972,2023-02-28,accommodation,86067
1973,2023-02-28,"advertising, marketing & research",9853
1974,2023-02-28,"agriculture, farm animals & forestry",1875
1975,2023-02-28,animal care & products for animals,6452
1976,2023-02-28,arts & design,11881
1977,2023-02-28,automotive,21858
1978,2023-02-28,beauty & personal care,32087
1979,2023-02-28,construction,265777
1980,2023-02-28,consulting,52232
1981,2023-02-28,e-commerce & retail trade,7026
1982,2023-02-28,education,376162
1983,2023-02-28,energy,133685
1984,2023-02-28,engineering & architecture,1503
1985,2023-02-28,entertainment & recreation,11157
1986,2023-02-28,event organization,76465
1987,2023-02-28,fashion,244434
1988,2023-02-28,finance,187871
1989,2023-02-28,food & beverages,37466
1990,2023-02-28,health care and social assistance,18630
1991,2023-02-28,home care & home services,24393
1992,2023-02-28,human resources,38633
1993,2023-02-28,information technology,90843
1994,2023-02-28,insurance,104776
1995,2023-02-28,legal,393381
1996,2023-02-28,manufacturing,153476
1997,2023-02-28,media & social networks,31259
1998,2023-02-28,non-profit organizations,9932
1999,2023-02-28,public administration,72356
2000,2023-02-28,real estate & leasing,12076
2001,2023-02-28,sports & activities,47641
2002,2023-02-28,telecommunications,40345
2003,2023-02-28,transportation,58200
2004,2023-02-28,video & photography,36756
2005,2023-02-28,"warehousing, storage & delivery",17322
2006,2023-03-01,accommodation,82978
2007,2023-03-01,"advertising, marketing & research",9364
2008,2023-03-01,"agriculture, farm animals & forestry",1369
2009,2023-03-01,animal care & products for animals,8479
2010,2023-03-01,arts & design,11169
2011,2023-03-01,automotive,22176
2012,2023-03-01,beauty & personal care,28857
2013,2023-03-01,construction,276511
2014,2023-03-01,consulting,47671
2015,2023-03-01,e-commerce & retail trade,6051
2016,2023-03-01,education,378798
2017,2023-03-01,energy,132192
2018,2023-03-01,engineering & architecture,1703
2019,2023-03-01,entertainment & recreation,12071
2020,2023-03-01,event organization,78342
2021,2023-03-01,fashion,241926
2022,2023-03-01,finance,191656
2023,2023-03-01,food & beverages,35982
2024,2023-03-01,health care and social assistance,16722
2025,2023-03-01,home care & home services,26828
2026,2023-03-01,human resources,38609
2027,2023-03-01,information technology,90132
