,date,cluster,keyword_sum
153,2023-01-05,food & beverages,21739
154,2023-01-05,health care and social assistance,20398
155,2023-01-05,home care & home services,23019
156,2023-01-05,human resources,28573
157,2023-01-05,information technology,75239
158,2023-01-05,insurance,96863
159,2023-01-05,legal,373577
160,2023-01-05,manufacturing,117537
161,2023-01-05,media & social networks,26766
162,2023-01-05,non-profit organizations,6829
163,2023-01-05,public administration,64276
164,2023-01-05,real estate & leasing,9706
165,2023-01-05,sports & activities,34558
166,2023-01-05,telecommunications,47408
167,2023-01-05,transportation,41443
168,2023-01-05,video & photography,28992
169,2023-01-05,"warehousing, storage & delivery",12208
170,2023-01-06,accommodation,63037
171,2023-01-06,"advertising, marketing & research",4973
172,2023-01-06,"agriculture, farm animals & forestry",616
173,2023-01-06,animal care & products for animals,3291
174,2023-01-06,arts & design,6424
175,2023-01-06,automotive,12858
176,2023-01-06,beauty & personal care,21206
177,2023-01-06,construction,192101
178,2023-01-06,consulting,34669
179,2023-01-06,e-commerce & retail trade,3348
180,2023-01-06,education,245938
181,2023-01-06,energy,82327
182,2023-01-06,engineering & architecture,758
183,2023-01-06,entertainment & recreation,6728
184,2023-01-06,event organization,42668
185,2023-01-06,fashion,143111
186,2023-01-06,finance,138498
187,2023-01-06,food & beverages,17192
188,2023-01-06,health care and social assistance,15124
189,2023-01-06,home care & home services,17165
190,2023-01-06,human resources,23257
191,2023-01-06,information technology,57714
192,2023-01-06,insurance,72242
193,2023-01-06,legal,295230
194,2023-01-06,manufacturing,96335
195,2023-01-06,media & social networks,20539
196,2023-01-06,non-profit organizations,5292
197,2023-01-06,public administration,48671
198,2023-01-06,real estate & leasing,8783
199,2023-01-06,sports & activities,27164
200,2023-01-06,telecommunications,40206
201,2023-01-06,transportation,32720
202,2023-01-06,video & photography,25066
203,2023-01-06,"warehousing, storage & delivery",11639
204,2023-01-07,accommodation,27852
205,2023-01-07,"advertising, marketing & research",1817
206,2023-01-07,"agriculture, farm animals & forestry",216
207,2023-01-07,animal care & products for animals,2509
208,2023-01-07,arts & design,2050
209,2023-01-07,automotive,4621
210,2023-01-07,beauty & personal care,9671
211,2023-01-07,construction,84071
212,2023-01-07,consulting,15930
213,2023-01-07,e-commerce & retail trade,1259
214,2023-01-07,education,117955
215,2023-01-07,energy,42435
216,2023-01-07,engineering & architecture,195
217,2023-01-07,entertainment & recreation,3829
218,2023-01-07,event organization,17906
219,2023-01-07,fashion,61255
220,2023-01-07,finance,64922
221,2023-01-07,food & beverages,8632
222,2023-01-07,health care and social assistance,6603
223,2023-01-07,home care & home services,7715
224,2023-01-07,human resources,9483
225,2023-01-07,information technology,23524
226,2023-01-07,insurance,32097
227,2023-01-07,legal,143090
228,2023-01-07,manufacturing,44349
229,2023-01-07,media & social networks,9027
230,2023-01-07,non-profit organizations,1506
231,2023-01-07,public administration,17902
232,2023-01-07,real estate & leasing,3476
233,2023-01-07,sports & activities,12545
234,2023-01-07,telecommunications,16936
235,2023-01-07,transportation,16551
236,2023-01-07,video & photography,9974
237,2023-01-07,"warehousing, storage & delivery",5676
238,2023-01-08,accommodation,32874
239,2023-01-08,"advertising, marketing & research",2276
240,2023-01-08,"agriculture, farm animals & forestry",172
241,2023-01-08,animal care & products for animals,2972
242,2023-01-08,arts & design,3025
243,2023-01-08,automotive,5088
244,2023-01-08,beauty & personal care,11223
245,2023-01-08,construction,101070
246,2023-01-08,consulting,19306
247,2023-01-08,e-commerce & retail trade,1371
248,2023-01-08,education,137477
249,2023-01-08,energy,46453
250,2023-01-08,engineering & architecture,154
251,2023-01-08,entertainment & recreation,3224
252,2023-01-08,event organization,23142
253,2023-01-08,fashion,67233
254,2023-01-08,finance,75857
255,2023-01-08,food & beverages,8945
256,2023-01-08,health care and social assistance,6649
257,2023-01-08,home care & home services,9964
258,2023-01-08,human resources,9196
259,2023-01-08,information technology,25991
260,2023-01-08,insurance,37455
261,2023-01-08,legal,167132
262,2023-01-08,manufacturing,51995
263,2023-01-08,media & social networks,10861
264,2023-01-08,non-profit organizations,2126
265,2023-01-08,public administration,19469
266,2023-01-08,real estate & leasing,3519
267,2023-01-08,sports & activities,14974
268,2023-01-08,telecommunications,20800
269,2023-01-08,transportation,19358
270,2023-01-08,video & photography,13443
271,2023-01-08,"warehousing, storage & delivery",5986
272,2023-01-09,accommodation,98513
273,2023-01-09,"advertising, marketing & research",6993
274,2023-01-09,"agriculture, farm animals & forestry",1090
275,2023-01-09,animal care & products for animals,5519
276,2023-01-09,arts & design,9522
277,2023-01-09,automotive,16590
278,2023-01-09,beauty & personal care,27286
279,2023-01-09,construction,257727
280,2023-01-09,consulting,45606
281,2023-01-09,e-commerce & retail trade,4899
282,2023-01-09,education,333823
283,2023-01-09,energy,112878
284,2023-01-09,engineering & architecture,1052
285,2023-01-09,entertainment & recreation,9569
286,2023-01-09,event organization,63178
287,2023-01-09,fashion,204830
288,2023-01-09,finance,187394
289,2023-01-09,food & beverages,24789
290,2023-01-09,health care and social assistance,18803
291,2023-01-09,home care & home services,24579
292,2023-01-09,human resources,32067
293,2023-01-09,information technology,75931
294,2023-01-09,insurance,92606
295,2023-01-09,legal,383725
296,2023-01-09,manufacturing,125959
297,2023-01-09,media & social networks,27145
298,2023-01-09,non-profit organizations,7336
299,2023-01-09,public administration,67198
300,2023-01-09,real estate & leasing,11137
301,2023-01-09,sports & activities,38771
302,2023-01-09,telecommunications,51737
303,2023-01-09,transportation,50867
304,2023-01-09,video & photography,31114
305,2023-01-09,"warehousing, storage & delivery",13648
306,2023-01-10,accommodation,105946
307,2023-01-10,"advertising, marketing & research",8447
308,2023-01-10,"agriculture, farm animals & forestry",1195
309,2023-01-10,animal care & products for animals,8278
310,2023-01-10,arts & design,9059
311,2023-01-10,automotive,19562
312,2023-01-10,beauty & personal care,28632
313,2023-01-10,construction,291232
314,2023-01-10,consulting,51482
315,2023-01-10,e-commerce & retail trade,4294
316,2023-01-10,education,386942
317,2023-01-10,energy,131028
318,2023-01-10,engineering & architecture,982
319,2023-01-10,entertainment & recreation,11106
320,2023-01-10,event organization,66783
321,2023-01-10,fashion,228138
322,2023-01-10,finance,217425
323,2023-01-10,food & beverages,27534
324,2023-01-10,health care and social assistance,21461
325,2023-01-10,home care & home services,27386
326,2023-01-10,human resources,36077
327,2023-01-10,information technology,90295
328,2023-01-10,insurance,121359
329,2023-01-10,legal,433039
330,2023-01-10,manufacturing,143841
331,2023-01-10,media & social networks,27676
332,2023-01-10,non-profit organizations,7147
333,2023-01-10,public administration,72545
334,2023-01-10,real estate & leasing,11835
335,2023-01-10,sports & activities,42640
336,2023-01-10,telecommunications,54943
337,2023-01-10,transportation,49341
338,2023-01-10,video & photography,35129
339,2023-01-10,"warehousing, storage & delivery",13687
340,2023-01-11,accommodation,94748
341,2023-01-11,"advertising, marketing & research",7993
342,2023-01-11,"agriculture, farm animals & forestry",1132
343,2023-01-11,animal care & products for animals,5332
344,2023-01-11,arts & design,9160
345,2023-01-11,automotive,18355
346,2023-01-11,beauty & personal care,26853
347,2023-01-11,construction,267787
348,2023-01-11,consulting,47796
349,2023-01-11,e-commerce & retail trade,4680
350,2023-01-11,education,346884
351,2023-01-11,energy,120288
352,2023-01-11,engineering & architecture,969
353,2023-01-11,entertainment & recreation,9360
354,2023-01-11,event organization,63839
355,2023-01-11,fashion,195182
356,2023-01-11,finance,199417
357,2023-01-11,food & beverages,24017
358,2023-01-11,health care and social assistance,18179
359,2023-01-11,home care & home services,24787
360,2023-01-11,human resources,30852
361,2023-01-11,information technology,77299
362,2023-01-11,insurance,106435
363,2023-01-11,legal,405257
364,2023-01-11,manufacturing,131067
365,2023-01-11,media & social networks,27792
366,2023-01-11,non-profit organizations,7276
367,2023-01-11,public administration,65476
368,2023-01-11,real estate & leasing,10307
369,2023-01-11,sports & activities,38030
370,2023-01-11,telecommunications,52653
371,2023-01-11,transportation,50246
372,2023-01-11,video & photography,33722
373,2023-01-11,"warehousing, storage & delivery",14000
374,2023-01-12,accommodation,93457
375,2023-01-12,"advertising, marketing & research",6138
376,2023-01-12,"agriculture, farm animals & forestry",1496
377,2023-01-12,animal care & products for animals,5065
378,2023-01-12,arts & design,8312
379,2023-01-12,automotive,16125
380,2023-01-12,beauty & personal care,22725
381,2023-01-12,construction,253359
382,2023-01-12,consulting,43057
383,2023-01-12,e-commerce & retail trade,4029
384,2023-01-12,education,314559
385,2023-01-12,energy,116519
386,2023-01-12,engineering & architecture,1030
387,2023-01-12,entertainment & recreation,8119
388,2023-01-12,event organization,60011
389,2023-01-12,fashion,176258
390,2023-01-12,finance,184076
391,2023-01-12,food & beverages,20325
392,2023-01-12,health care and social assistance,16299
393,2023-01-12,home care & home services,23509
394,2023-01-12,human resources,30079
395,2023-01-12,information technology,71592
396,2023-01-12,insurance,99405
397,2023-01-12,legal,399366
398,2023-01-12,manufacturing,124817
399,2023-01-12,media & social networks,24433
400,2023-01-12,non-profit organizations,7132
401,2023-01-12,public administration,62217
402,2023-01-12,real estate & leasing,10372
403,2023-01-12,sports & activities,42580
404,2023-01-12,telecommunications,49969
405,2023-01-12,transportation,47827
406,2023-01-12,video & photography,30125
407,2023-01-12,"warehousing, storage & delivery",12600
408,2023-01-13,accommodation,78007
409,2023-01-13,"advertising, marketing & research",5421
410,2023-01-13,"agriculture, farm animals & forestry",891
411,2023-01-13,animal care & products for animals,3934
412,2023-01-13,arts & design,6938
413,2023-01-13,automotive,17124
414,2023-01-13,beauty & personal care,18230
415,2023-01-13,construction,243557
416,2023-01-13,consulting,35417
417,2023-01-13,e-commerce & retail trade,3389
418,2023-01-13,education,265321
419,2023-01-13,energy,99920
420,2023-01-13,engineering & architecture,954
421,2023-01-13,entertainment & recreation,7243
422,2023-01-13,event organization,49134
423,2023-01-13,fashion,152702
424,2023-01-13,finance,147620
425,2023-01-13,food & beverages,15333
426,2023-01-13,health care and social assistance,14083
427,2023-01-13,home care & home services,17874
428,2023-01-13,human resources,23272
429,2023-01-13,information technology,62070
430,2023-01-13,insurance,76176
431,2023-01-13,legal,374595
432,2023-01-13,manufacturing,118883
433,2023-01-13,media & social networks,19544
434,2023-01-13,non-profit organizations,5258
435,2023-01-13,public administration,52656
436,2023-01-13,real estate & leasing,7513
437,2023-01-13,sports & activities,48126
438,2023-01-13,telecommunications,41877
439,2023-01-13,transportation,37261
440,2023-01-13,video & photography,25731
441,2023-01-13,"warehousing, storage & delivery",11011
442,2023-01-14,accommodation,31752
443,2023-01-14,"advertising, marketing & research",2112
444,2023-01-14,"agriculture, farm animals & forestry",204
445,2023-01-14,animal care & products for animals,2743
446,2023-01-14,arts & design,2265
447,2023-01-14,automotive,4490
448,2023-01-14,beauty & personal care,8882
449,2023-01-14,construction,84722
450,2023-01-14,consulting,22585
451,2023-01-14,e-commerce & retail trade,1789
452,2023-01-14,education,116623
453,2023-01-14,energy,42617
454,2023-01-14,engineering & architecture,77
455,2023-01-14,entertainment & recreation,2964
456,2023-01-14,event organization,19931
457,2023-01-14,fashion,58130
458,2023-01-14,finance,70119
459,2023-01-14,food & beverages,7617
460,2023-01-14,health care and social assistance,6655
461,2023-01-14,home care & home services,7733
462,2023-01-14,human resources,8709
463,2023-01-14,information technology,22363
464,2023-01-14,insurance,36652
465,2023-01-14,legal,146694
466,2023-01-14,manufacturing,46268
467,2023-01-14,media & social networks,8796
468,2023-01-14,non-profit organizations,1907
469,2023-01-14,public administration,17689
470,2023-01-14,real estate & leasing,3969
471,2023-01-14,sports & activities,12365
472,2023-01-14,telecommunications,16980
473,2023-01-14,transportation,18124
474,2023-01-14,video & photography,13685
475,2023-01-14,"warehousing, storage & delivery",5584
476,2023-01-15,accommodation,40603
477,2023-01-15,"advertising, marketing & research",2228
478,2023-01-15,"agriculture, farm animals & forestry",332
479,2023-01-15,animal care & products for animals,2508
480,2023-01-15,arts & design,2885
481,2023-01-15,automotive,5147
482,2023-01-15,beauty & personal care,10295
483,2023-01-15,construction,107892
484,2023-01-15,consulting,18503
485,2023-01-15,e-commerce & retail trade,1546
486,2023-01-15,education,138219
487,2023-01-15,energy,47162
488,2023-01-15,engineering & architecture,98
489,2023-01-15,entertainment & recreation,3389
490,2023-01-15,event organization,23006
491,2023-01-15,fashion,66522
492,2023-01-15,finance,82949
493,2023-01-15,food & beverages,8883
494,2023-01-15,health care and social assistance,6718
495,2023-01-15,home care & home services,9313
496,2023-01-15,human resources,9809
497,2023-01-15,information technology,29273
498,2023-01-15,insurance,39524
499,2023-01-15,legal,177083
500,2023-01-15,manufacturing,52722
501,2023-01-15,media & social networks,10171
502,2023-01-15,non-profit organizations,1895
503,2023-01-15,public administration,22192
504,2023-01-15,real estate & leasing,4255
505,2023-01-15,sports & activities,14184
506,2023-01-15,telecommunications,19699
507,2023-01-15,transportation,20097
508,2023-01-15,video & photography,11425
509,2023-01-15,"warehousing, storage & delivery",6278
510,2023-01-16,accommodation,97614
511,2023-01-16,"advertising, marketing & research",5942
512,2023-01-16,"agriculture, farm animals & forestry",1249
513,2023-01-16,animal care & products for animals,7572
514,2023-01-16,arts & design,7037
515,2023-01-16,automotive,18866
516,2023-01-16,beauty & personal care,24468
517,2023-01-16,construction,246095
518,2023-01-16,consulting,45949
519,2023-01-16,e-commerce & retail trade,4614
520,2023-01-16,education,302623
521,2023-01-16,energy,115451
522,2023-01-16,engineering & architecture,973
523,2023-01-16,entertainment & recreation,8769
524,2023-01-16,event organization,55003
525,2023-01-16,fashion,205091
526,2023-01-16,finance,192069
527,2023-01-16,food & beverages,21900
528,2023-01-16,health care and social assistance,15837
529,2023-01-16,home care & home services,23207
530,2023-01-16,human resources,30061
531,2023-01-16,information technology,67827
532,2023-01-16,insurance,94053
533,2023-01-16,legal,370697
534,2023-01-16,manufacturing,121954
535,2023-01-16,media & social networks,25466
536,2023-01-16,non-profit organizations,6824
537,2023-01-16,public administration,60390
538,2023-01-16,real estate & leasing,12203
539,2023-01-16,sports & activities,32376
540,2023-01-16,telecommunications,48682
541,2023-01-16,transportation,42020
542,2023-01-16,video & photography,29856
543,2023-01-16,"warehousing, storage & delivery",13115
544,2023-01-17,accommodation,108417
545,2023-01-17,"advertising, marketing & research",8613
546,2023-01-17,"agriculture, farm animals & forestry",1311
547,2023-01-17,animal care & products for animals,6951
548,2023-01-17,arts & design,10599
549,2023-01-17,automotive,18395
550,2023-01-17,beauty & personal care,27283
551,2023-01-17,construction,285514
552,2023-01-17,consulting,51917
553,2023-01-17,e-commerce & retail trade,5745
554,2023-01-17,education,368225
555,2023-01-17,energy,130646
556,2023-01-17,engineering & architecture,778
557,2023-01-17,entertainment & recreation,10165
558,2023-01-17,event organization,65969
559,2023-01-17,fashion,204832
560,2023-01-17,finance,220279
561,2023-01-17,food & beverages,25489
562,2023-01-17,health care and social assistance,20740
563,2023-01-17,home care & home services,27549
564,2023-01-17,human resources,34660
565,2023-01-17,information technology,79510
566,2023-01-17,insurance,112471
567,2023-01-17,legal,434708
568,2023-01-17,manufacturing,139686
569,2023-01-17,media & social networks,29281
570,2023-01-17,non-profit organizations,7411
571,2023-01-17,public administration,68040
572,2023-01-17,real estate & leasing,11873
573,2023-01-17,sports & activities,40015
574,2023-01-17,telecommunications,55778
575,2023-01-17,transportation,54019
576,2023-01-17,video & photography,35893
577,2023-01-17,"warehousing, storage & delivery",16201
578,2023-01-18,accommodation,92724
579,2023-01-18,"advertising, marketing & research",7022
580,2023-01-18,"agriculture, farm animals & forestry",1130
581,2023-01-18,animal care & products for animals,7166
582,2023-01-18,arts & design,8839
